tweet_id,favorites,retweet_count
892420643555336193,35502,7497
892177421306343426,30727,5564
891815181378084864,23105,3684
891689557279858688,38796,7679
891327558926688256,37060,8284
891087950875897856,18686,2774
890971913173991426,10859,1800
890729181411237888,59849,16796
890609185150312448,25704,3825
890240255349198849,29361,6520
890006608113172480,28274,6523
889880896479866881,25733,4440
889665388333682689,44226,8902
889638837579907072,24869,3978
889531135344209921,13980,2010
889278841981685760,23208,4743
888917238123831296,26823,3994
888804989199671297,23544,3768
888554962724278272,18164,3077
888078434458587136,20067,3089
887705289381826560,27895,4801
887517139158093824,42726,10487
887473957103951883,63287,16009
887343217045368832,31031,9367
887101392804085760,28234,5313
886983233522544640,32088,6811
886736880519319552,11012,2837
886680336477933568,20733,3987
886366144734445568,19468,2816
886267009285017600,110,4
886258384151887873,25780,5632
886054160059072513,0,97
885984800019947520,29996,5981
885528943205470208,33103,5693
885518971528720385,18871,3315
885311592912609280,0,16465
885167619883638784,20155,3884
884925521741709313,70924,16063
884876753390489601,25610,4961
884562892145688576,22392,4187
884441805382717440,24964,5078
884247878851493888,66776,18067
884162670584377345,18812,2662
883838122936631299,20116,3043
883482846933004288,42217,8798
883360690899218434,20889,3282
883117836046086144,34144,5919
882992080364220416,22002,3456
882762694511734784,26025,4348
882627270321602560,25811,5408
882268110199369728,41279,10315
882045870035918850,27013,4335
881906580714921986,22446,3029
881666595344535552,46685,9510
881633300179243008,116,7
881536004380872706,45577,14249
881268444196462592,21451,4713
880935762899988482,15766,2494
880872448815771648,19623,3415
880465832366813184,26221,5532
880221127280381952,24846,3704
880095782870896641,25465,3877
879862464715927552,20634,3105
879674319642796034,292,10
879492040517615616,21658,2837
879415818425184262,97519,39752
879376492567855104,15528,2793
879130579576475649,0,6071
879050749262655488,20810,4190
879008229531029506,17546,2389
878776093423087618,17872,3650
878604707211726852,27759,6307
878404777348136964,0,1136
878316110768087041,0,5928
878281511006478336,7131,1136
878057613040115712,38860,6071
877736472329191424,73057,16899
877611172832227328,0,71
877556246731214848,20956,3402
877316821321428993,25339,4656
877201837425926144,25028,4968
876838120628539392,19116,2980
876537666061221889,21924,4200
876484053909872640,17359,2114
876120275196170240,25866,4170
875747767867523072,23194,3821
875144289856114688,20288,4392
875097192612077568,25387,5450
875021211251597312,23598,4221
874680097055178752,25739,4155
874434818259525634,0,13010
874296783580663808,24100,3704
874057562936811520,21041,3569
874012996292530176,31672,9160
873580283840344065,22438,3543
873337748698140672,0,1419
873213775632977920,6630,1419
872967104147763200,25246,4867
872820683541237760,13656,3346
872620804844003328,19223,3276
872486979161796608,37807,8143
872122724285648897,31778,7291
871879754684805121,34834,9850
871762521631449091,18765,3142
871515927908634625,18740,3130
871166179821445120,0,5154
871102520638267392,19441,4979
871032628920680449,21151,3441
870804317367881728,31297,5600
870726314365509632,113,3
870656317836468226,11479,2367
870374049280663552,77310,24061
870308999962521604,20411,3758
870063196459192321,34005,7525
869772420881756160,39691,9187
869702957897576449,26300,5708
869596645499047938,14882,2822
869227993411051520,19042,3423
868880397819494401,60935,13089
868639477480148993,0,1877
868622495443632128,24841,4803
868552278524837888,9400,1877
867900495410671616,22614,3811
867774946302451713,31734,6679
867421006826221569,15035,2271
867072653475098625,0,109
867051520902168576,30116,7202
866720684873056260,18710,4376
866686824827068416,18002,3170
866450705531457537,114359,32204
866334964761202691,48953,13010
866094527597207552,0,7668
865718153858494464,24060,5151
865359393868664832,24788,4574
865006731092295680,26268,7065
864873206498414592,30235,7957
864279568663928832,13685,2761
864197398364647424,28107,8093
863907417377173506,19330,3800
863553081350529029,14328,3850
863471782782697472,0,2223
863432100342583297,22323,4813
863427515083354112,2067,89
863079547188785154,8243,1023
863062471531167744,7930,2223
862831371563274240,18018,4733
862722525377298433,16086,3264
862457590147678208,19191,4528
862096992088072192,69739,21346
861383897657036800,33960,9869
861288531465048066,16156,3818
861005113778896900,15722,3530
860981674716409858,0,1980
860924035999428608,0,735
860563773140209665,7061,1980
860524505164394496,22301,4908
860276583193509888,17364,3253
860184849394610176,15720,5415
860177593139703809,0,28625
859924526012018688,18525,3814
859851578198683649,14586,3274
859607811541651456,17610,1443
859196978902773760,84923,27983
859074603037188101,31964,12677
858860390427611136,0,7541
858843525470990336,14785,3237
858471635011153920,20399,4525
858107933456039936,14939,2694
857989990357356544,15235,2418
857746408056729600,32486,9932
857393404942143489,5593,1534
857263160327368704,19080,4234
857214891891077121,214,17
857062103051644929,0,157
857029823797047296,17925,3724
856543823941562368,15569,2700
856526610513747968,11307,1767
856330835276025856,0,627
856288084350160898,491,15
856282028240666624,26424,5897
855862651834028034,320,23
855860136149123072,4671,918
855857698524602368,11323,1981
855851453814013952,43730,17018
855818117272018944,25459,5112
855459453768019968,28438,7749
855245323840757760,0,5605
855138241867124737,0,43
854732716440526848,21749,5725
854482394044301312,27982,6457
854365224396361728,18090,4439
854120357044912130,30647,7052
854010172552949760,15573,2987
853760880890318849,27413,5455
853639147608842240,33259,9482
853299958564483072,14880,3375
852936405516943360,0,1884
852912242202992640,8660,1713
852672615818899456,14358,2055
852553447878664193,15668,3303
852311364735569921,31912,9474
852226086759018497,19273,6531
852189679701164033,11052,1516
851861385021730816,0,19
851591660324737024,15708,3308
851464819735769094,23406,6747
851224888060895234,19984,5488
850753642995093505,29713,8688
850380195714523136,12667,2489
850333567704068097,3346,315
850145622816686080,15801,3627
850019790995546112,19763,4665
849776966551130114,29401,7264
849668094696017920,0,4755
